x,y,z
4.460044670104980469e+03,3.440022182464599609e+03,3.159648656845092773e+03
4.465190815925598145e+03,3.416372013092041016e+03,3.108840942382812500e+03
4.468248891830444336e+03,3.391525697708129883e+03,3.057168483734130859e+03
4.472008752822875977e+03,3.367808532714843750e+03,3.005110740661621094e+03
4.476012635231018066e+03,3.344477605819702148e+03,2.952556848526000977e+03
4.480051088333129883e+03,3.321273517608642578e+03,2.899514913558959961e+03
4.483839678764343262e+03,3.298447322845458984e+03,2.845839500427246094e+03
4.487509775161743164e+03,3.275690746307373047e+03,2.791565179824829102e+03
4.491167950630187988e+03,3.253441047668457031e+03,2.736806869506835938e+03
4.494919347763061523e+03,3.231366825103759766e+03,2.681607007980346680e+03
4.498772788047790527e+03,3.209510040283203125e+03,2.625893354415893555e+03
4.502483177185058594e+03,3.188071680068969727e+03,2.569612503051757812e+03
4.506016540527343750e+03,3.167092752456665039e+03,2.512905836105346680e+03
4.509485888481140137e+03,3.146303606033325195e+03,2.455767631530761719e+03
4.513086009025573730e+03,3.125568342208862305e+03,2.398212909698486328e+03
4.516509461402893066e+03,3.105319690704345703e+03,2.340232610702514648e+03
4.519730257987976074e+03,3.085554552078247070e+03,2.281845331192016602e+03
4.522809910774230957e+03,3.066254806518554688e+03,2.223164081573486328e+03
4.526083874702453613e+03,3.046822977066040039e+03,2.164105415344238281e+03
4.529237198829650879e+03,3.027685832977294922e+03,2.104609489440917969e+03
4.532233524322509766e+03,3.008818340301513672e+03,2.044738769531250000e+03
4.535190391540527344e+03,2.990280580520629883e+03,1.984532833099365234e+03
4.538011598587036133e+03,2.972105455398559570e+03,1.924028635025024414e+03
4.540938186645507812e+03,2.954094839096069336e+03,1.863193392753601074e+03
4.543667364120483398e+03,2.936406564712524414e+03,1.801942706108093262e+03
4.546419548988342285e+03,2.919172477722167969e+03,1.740259647369384766e+03
4.549060392379760742e+03,2.902191352844238281e+03,1.678334116935729980e+03
4.551801729202270508e+03,2.885444116592407227e+03,1.616052389144897461e+03
4.554666447639465332e+03,2.868747901916503906e+03,1.553418040275573730e+03
4.557390499114990234e+03,2.852460813522338867e+03,1.490494012832641602e+03
4.559830236434936523e+03,2.836801242828369141e+03,1.427152872085571289e+03
4.562345194816589355e+03,2.821327161788940430e+03,1.363616704940795898e+03
4.564919638633728027e+03,2.805755805969238281e+03,1.299777984619140625e+03
4.567340183258056641e+03,2.790687751770019531e+03,1.235628366470336914e+03
4.569586563110351562e+03,2.776220750808715820e+03,1.171216964721679688e+03
4.571790742874145508e+03,2.761916828155517578e+03,1.106612682342529297e+03
4.574197340011596680e+03,2.747492504119873047e+03,1.041803121566772461e+03
4.576403069496154785e+03,2.733279418945312500e+03,9.768313169479370117e+02
4.578634905815124512e+03,2.719445419311523438e+03,9.115012884140014648e+02
