x,y,z
2.953406143188476562e+03,1.051136560440063477e+04,1.461522579193115234e+03
2.942444133758544922e+03,1.035234708786010742e+04,1.653977870941162109e+03
2.932384300231933594e+03,1.020677967071533203e+04,1.832817554473876953e+03
2.921845722198486328e+03,1.007551736831665039e+04,2.001670837402343750e+03
2.911848831176757812e+03,9.955447387695312500e+03,2.162938117980957031e+03
2.904007482528686523e+03,9.823390197753906250e+03,2.314132690429687500e+03
2.896489191055297852e+03,9.718452644348144531e+03,2.460448503494262695e+03
2.888813066482543945e+03,9.594441127777099609e+03,2.596251964569091797e+03
2.882349061965942383e+03,9.498799514770507812e+03,2.731168508529663086e+03
2.875554609298706055e+03,9.381955814361572266e+03,2.855219602584838867e+03
2.869159507751464844e+03,9.293786716461181641e+03,2.979402065277099609e+03
2.863264846801757812e+03,9.185424041748046875e+03,3.092829704284667969e+03
2.856922197341918945e+03,9.101168823242187500e+03,3.206078290939331055e+03
2.852302360534667969e+03,9.006194782257080078e+03,3.311305761337280273e+03
2.845948266983032227e+03,8.920525741577148438e+03,3.412815093994140625e+03
2.842232513427734375e+03,8.838005733489990234e+03,3.511204719543457031e+03
2.836409616470336914e+03,8.747910213470458984e+03,3.603290081024169922e+03
2.832028675079345703e+03,8.676029396057128906e+03,3.696973323822021484e+03
2.827207612991333008e+03,8.586702060699462891e+03,3.781184196472167969e+03
2.822230148315429688e+03,8.520266723632812500e+03,3.867849111557006836e+03
2.818164157867431641e+03,8.436475467681884766e+03,3.945961713790893555e+03
2.813744592666625977e+03,8.372593116760253906e+03,4.025594711303710938e+03
2.810421991348266602e+03,8.294239711761474609e+03,4.097981929779052734e+03
2.805468368530273438e+03,8.230755043029785156e+03,4.172008991241455078e+03
nan,nan,nan
2.798083591461181641e+03,8.094028186798095703e+03,4.308940887451171875e+03
2.795201349258422852e+03,8.022632312774658203e+03,4.371343612670898438e+03
2.790384817123413086e+03,7.963553142547607422e+03,4.435167312622070312e+03
2.788471984863281250e+03,7.897063922882080078e+03,4.493526935577392578e+03
2.783676910400390625e+03,7.838495445251464844e+03,4.551137447357177734e+03
2.781676101684570312e+03,7.774710845947265625e+03,4.604759216308593750e+03
2.777221727371215820e+03,7.719215583801269531e+03,4.659242153167724609e+03
nan,nan,nan
2.771298456192016602e+03,7.603050899505615234e+03,4.760326385498046875e+03
2.768881845474243164e+03,7.536442947387695312e+03,4.803487300872802734e+03
2.765763568878173828e+03,7.488429737091064453e+03,4.852042675018310547e+03
2.761881160736083984e+03,7.427197647094726562e+03,4.892804145812988281e+03
2.760839748382568359e+03,7.379091930389404297e+03,4.936543464660644531e+03
2.756372737884521484e+03,7.321310234069824219e+03,4.974170684814453125e+03
2.755662727355957031e+03,7.271226119995117188e+03,5.014030456542968750e+03
2.751130151748657227e+03,7.219066810607910156e+03,5.050312995910644531e+03
2.749111938476562500e+03,7.162006568908691406e+03,5.083625316619873047e+03
2.746553230285644531e+03,7.118181896209716797e+03,5.120447158813476562e+03
2.743753480911254883e+03,7.060338687896728516e+03,5.149154186248779297e+03
