nan,nan,nan
2.971606063842773438e+03,1.076787300109863281e+04,1.435159802436828613e+03
2.924524831771850586e+03,1.061963958740234375e+04,1.625215888023376465e+03
2.879817056655883789e+03,1.048208541870117188e+04,1.803080797195434570e+03
2.837506818771362305e+03,1.035055704116821289e+04,1.971265077590942383e+03
2.796840238571166992e+03,1.022331018447875977e+04,2.129721164703369141e+03
2.759208726882934570e+03,1.011318988800048828e+04,2.282174348831176758e+03
2.721680927276611328e+03,1.000076026916503906e+04,2.426375389099121094e+03
2.685643005371093750e+03,9.883205127716064453e+03,2.561488628387451172e+03
nan,nan,nan
2.618456649780273438e+03,9.686833572387695312e+03,2.822156906127929688e+03
2.587394046783447266e+03,9.580881786346435547e+03,2.939936637878417969e+03
2.557460117340087891e+03,9.497027111053466797e+03,3.056284427642822266e+03
2.527264642715454102e+03,9.397256565093994141e+03,3.163318872451782227e+03
2.499601888656616211e+03,9.315757942199707031e+03,3.269956111907958984e+03
2.470664310455322266e+03,9.228460979461669922e+03,3.370110034942626953e+03
2.443868923187255859e+03,9.142266464233398438e+03,3.465061187744140625e+03
2.416492271423339844e+03,9.066490840911865234e+03,3.558687686920166016e+03
2.389458465576171875e+03,8.979246330261230469e+03,3.644617557525634766e+03
nan,nan,nan
2.340876626968383789e+03,8.828126144409179688e+03,3.815871238708496094e+03
2.317971038818359375e+03,8.762841415405273438e+03,3.896883010864257812e+03
2.293119478225708008e+03,8.687052440643310547e+03,3.971206188201904297e+03
2.271233606338500977e+03,8.617686462402343750e+03,4.044062614440917969e+03
2.248054075241088867e+03,8.553016853332519531e+03,4.115383625030517578e+03
2.226120042800903320e+03,8.478578758239746094e+03,4.179735183715820312e+03
2.204594421386718750e+03,8.421383571624755859e+03,4.247455596923828125e+03
2.182296800613403320e+03,8.348184299468994141e+03,4.306548118591308594e+03
nan,nan,nan
2.140439558029174805e+03,8.227276039123535156e+03,4.429979801177978516e+03
2.121390628814697266e+03,8.162967872619628906e+03,4.484148979187011719e+03
2.101406383514404297e+03,8.109698009490966797e+03,4.540296077728271484e+03
2.081491518020629883e+03,8.042833518981933594e+03,4.588276863098144531e+03
2.063850450515747070e+03,7.993079376220703125e+03,4.641459465026855469e+03
